A0A075B5I0	ENSMUSG00000090765
A0A075B5Q2	ENSMUSG00000095285
A0A075B5Q3	ENSMUSG00000096498
A0A075B5Q4	ENSMUSG00000095429
A0A075B5Q5	ENSMUSG00000096638
A0A075B5Q6	ENSMUSG00000095210
A0A075B5Q7	ENSMUSG00000076646
A0A075B5Q8	ENSMUSG00000096824
A0A075B5Q9	ENSMUSG00000094134
A0A075B5R0	ENSMUSG00000094194
A0A075B5R1	ENSMUSG00000095571
A0A075B5R2	ENSMUSG00000076652
A0A075B5R3	ENSMUSG00000076653
A0A075B5R4	ENSMUSG00000094509
A0A075B5R5	ENSMUSG00000076655
A0A075B5R6	ENSMUSG00000094533
A0A075B5R7	ENSMUSG00000095583
A0A075B5R8	ENSMUSG00000096108
A0A075B5R9	ENSMUSG00000095642
A0A075B5S0	ENSMUSG00000076661
A0A075B5S1	ENSMUSG00000096805
A0A075B5S2	ENSMUSG00000076665
A0A075B5S3	ENSMUSG00000076666
A0A075B5S4	ENSMUSG00000094029
A0A075B5S5	ENSMUSG00000076668
A0A075B5S6	ENSMUSG00000093838
A0A075B5S9	ENSMUSG00000094322
A0A075B5T0	ENSMUSG00000076674
A0A075B5T1	ENSMUSG00000076676
A0A075B5T2	ENSMUSG00000076677
A0A075B5T3	ENSMUSG00000076680
A0A075B5T4	ENSMUSG00000095442
A0A075B5T5	ENSMUSG00000096499
A0A075B5T6	ENSMUSG00000095700
A0A075B5T7	ENSMUSG00000095200
A0A075B5T8	ENSMUSG00000076688
A0A075B5T9	ENSMUSG00000094694
A0A075B5U0	ENSMUSG00000095416
A0A075B5U1	ENSMUSG00000095554
A0A075B5U4	ENSMUSG00000076695
A0A075B5U5	ENSMUSG00000096410
A0A075B5U6	ENSMUSG00000095761
A0A075B5U7	ENSMUSG00000094561
A0A075B5U9	ENSMUSG00000094241
A0A075B5V0	ENSMUSG00000094546
A0A075B5V1	ENSMUSG00000096649
A0A075B5V2	ENSMUSG00000093955
A0A075B5V3	ENSMUSG00000094051
A0A075B5V4	ENSMUSG00000095923
A0A075B5V5	ENSMUSG00000095130
A0A075B5V6	ENSMUSG00000094652
A0A075B5V7	ENSMUSG00000095859
A0A075B5V8	ENSMUSG00000076709
A0A075B5V9	ENSMUSG00000076710
A0A075B5W1	ENSMUSG00000094198
A0A075B5W2	ENSMUSG00000095204
A0A075B5W3	ENSMUSG00000093894
A0A075B5W4	ENSMUSG00000094505
A0A075B5W5	ENSMUSG00000094787
A0A075B5W6	ENSMUSG00000095589
A0A075B5W7	ENSMUSG00000094862
A0A075B5W9	ENSMUSG00000095889
A0A075B5X0	ENSMUSG00000095197
A0A075B5X1	ENSMUSG00000095117
A0A075B5X2	ENSMUSG00000096672
A0A075B5X3	ENSMUSG00000094088
A0A075B5X4	ENSMUSG00000095170
A0A075B5X5	ENSMUSG00000095519
A0A075B5X6	ENSMUSG00000095863
A0A075B5X7	ENSMUSG00000094502
A0A075B5X8	ENSMUSG00000076731
A0A075B5Y0	ENSMUSG00000076733
A0A075B5Y1	ENSMUSG00000094124
A0A075B5Y2	ENSMUSG00000096020
A0A075B5Y3	ENSMUSG00000094075
A0A075B5Y4	ENSMUSG00000094689
A0A075B5Y6	ENSMUSG00000096150
A0A075B5Y8	ENSMUSG00000076746
A0A075B5Y9	ENSMUSG00000076747
A0A075B5Z0	ENSMUSG00000076749
A0A075B5Z1	ENSMUSG00000076750
A0A075B5Z2	ENSMUSG00000076752
A0A075B5Z7	ENSMUSG00000076761
A0A075B5Z8	ENSMUSG00000076762
A0A075B601	ENSMUSG00000096900
A0A075B603	ENSMUSG00000095862
A0A075B603	ENSMUSG00000094176
A0A075B604	ENSMUSG00000105393
A0A075B604	ENSMUSG00000105629
A0A075B606	ENSMUSG00000076778
A0A075B607	ENSMUSG00000094212
A0A075B608	ENSMUSG00000094413
A0A075B608	ENSMUSG00000096653
A0A075B615	ENSMUSG00000096505
A0A075B615	ENSMUSG00000093969
A0A075B617	ENSMUSG00000076796
A0A075B618	ENSMUSG00000096329
A0A075B619	ENSMUSG00000094619
A0A075B620	ENSMUSG00000095736
A0A075B621	ENSMUSG00000076800
A0A075B622	ENSMUSG00000095646
A0A075B623	ENSMUSG00000076802
A0A075B625	ENSMUSG00000093939
A0A075B625	ENSMUSG00000095572
A0A075B626	ENSMUSG00000096129
A0A075B626	ENSMUSG00000096531
A0A075B631	ENSMUSG00000094231
A0A075B633	ENSMUSG00000076821
A0A075B634	ENSMUSG00000076822
A0A075B635	ENSMUSG00000076823
A0A075B636	ENSMUSG00000076824
A0A075B638	ENSMUSG00000076826
A0A075B639	ENSMUSG00000095126
A0A075B641	ENSMUSG00000076831
A0A075B642	ENSMUSG00000096551
A0A075B642	ENSMUSG00000094792
A0A075B644	ENSMUSG00000076839
A0A075B647	ENSMUSG00000094966
A0A075B648	ENSMUSG00000095958
A0A075B649	ENSMUSG00000076846
A0A075B650	ENSMUSG00000076848
A0A075B651	ENSMUSG00000096096
A0A075B652	ENSMUSG00000095607
A0A075B653	ENSMUSG00000076855
A0A075B654	ENSMUSG00000076858
A0A075B658	ENSMUSG00000076865
A0A075B661	ENSMUSG00000076873
A0A075B662	ENSMUSG00000076928
A0A075B663	ENSMUSG00000076934
A0A075B666	ENSMUSG00000079543
A0A075B674	ENSMUSG00000096326
A0A075B676	ENSMUSG00000090395
A0A075B677	ENSMUSG00000095753
A0A075B680	ENSMUSG00000096078
A0A075B680	ENSMUSG00000096577
A0A075B683	ENSMUSG00000091008
A0A075B684	ENSMUSG00000102313
A0A075B685	ENSMUSG00000090868
A0A075B693	ENSMUSG00000096355
A0A075B695	ENSMUSG00000096541
A0A075B695	ENSMUSG00000095495
A0A075B696	ENSMUSG00000094164
A0A075B697	ENSMUSG00000095565
A0A075B699	ENSMUSG00000096478
A0A075B6A4	ENSMUSG00000094607
A0A075B6A4	ENSMUSG00000093915
A0A075B6A6	ENSMUSG00000095370
A0A075B6A7	ENSMUSG00000096670
A0A075B6B0	ENSMUSG00000095756
A0A075B6B1	ENSMUSG00000095854
A0A075B6B1	ENSMUSG00000096827
A0A075B6B9	ENSMUSG00000095426
A0A075B6C1	ENSMUSG00000094766
A0A075B6C4	ENSMUSG00000076863
A0A075B6C7	ENSMUSG00000076757
A0A075B6C9	ENSMUSG00000094562
A0A075B6D1	ENSMUSG00000096138
A0A075B6D3	ENSMUSG00000096600
A0A075B6D4	ENSMUSG00000096149
A0A075B6D5	ENSMUSG00000098814
A0A075B6D6	ENSMUSG00000094468
A0A077KA19	ENSMUSG00000116542
A0A087WNM4	ENSMUSG00000096706
A0A087WNP0	ENSMUSG00000086727
A0A087WNP1	ENSMUSG00000101415
A0A087WNP5	ENSMUSG00000094076
A0A087WNP5	ENSMUSG00000096856
A0A087WNP8	ENSMUSG00000096036
A0A087WNQ7	ENSMUSG00000072704
A0A087WNV3	ENSMUSG00000099550
A0A087WNV3	ENSMUSG00000102388
A0A087WNW4	ENSMUSG00000100231
A0A087WNW5	ENSMUSG00000101471
A0A087WNZ6	ENSMUSG00000101113
A0A087WP11	ENSMUSG00000101819
A0A087WP21	ENSMUSG00000101520
A0A087WP28	ENSMUSG00000101396
A0A087WP35	ENSMUSG00000101243
A0A087WP44	ENSMUSG00000099740
A0A087WP44	ENSMUSG00000099792
A0A087WP44	ENSMUSG00000099925
A0A087WP44	ENSMUSG00000095578
A0A087WP44	ENSMUSG00000101528
A0A087WP44	ENSMUSG00000103528
A0A087WP46	ENSMUSG00000033722
A0A087WP50	ENSMUSG00000099898
A0A087WP50	ENSMUSG00000101232
A0A087WPA5	ENSMUSG00000101399
A0A087WPA9	ENSMUSG00000100058
A0A087WPC3	ENSMUSG00000083138
A0A087WPF7	ENSMUSG00000029673
A0A087WPG5	ENSMUSG00000100505
A0A087WPH4	ENSMUSG00000068071
A0A087WPH8	ENSMUSG00000076864
A0A087WPJ1	ENSMUSG00000056912
A0A087WPJ9	ENSMUSG00000096769
A0A087WPN2	ENSMUSG00000094942
A0A087WPN7	ENSMUSG00000076671
A0A087WPP3	ENSMUSG00000100240
A0A087WPV9	ENSMUSG00000060715
A0A087WPW0	ENSMUSG00000099581
A0A087WPY7	ENSMUSG00000101667
A0A087WQ19	ENSMUSG00000100634
A0A087WQ24	ENSMUSG00000095135
A0A087WQ44	ENSMUSG00000053877
A0A087WQ87	ENSMUSG00000096397
A0A087WQ89	ENSMUSG00000074217
A0A087WQ99	ENSMUSG00000100967
A0A087WQA2	ENSMUSG00000048747
A0A087WQA3	ENSMUSG00000094616
A0A087WQA3	ENSMUSG00000094821
A0A087WQA3	ENSMUSG00000095979
A0A087WQA3	ENSMUSG00000096016
A0A087WQA3	ENSMUSG00000096902
A0A087WQA9	ENSMUSG00000099900
A0A087WQC7	ENSMUSG00000093993
A0A087WQC7	ENSMUSG00000095606
A0A087WQI7	ENSMUSG00000101303
A0A087WQJ0	ENSMUSG00000101638
A0A087WQJ0	ENSMUSG00000101401
A0A087WQL3	ENSMUSG00000101915
A0A087WQL6	ENSMUSG00000057855
A0A087WQP5	ENSMUSG00000101315
A0A087WQP8	ENSMUSG00000096045
A0A087WQT1	ENSMUSG00000047728
A0A087WQW2	ENSMUSG00000100265
A0A087WQY2	ENSMUSG00000071398
A0A087WR13	ENSMUSG00000101337
A0A087WR14	ENSMUSG00000095153
A0A087WR18	ENSMUSG00000099545
A0A087WR25	ENSMUSG00000100305
A0A087WR34	ENSMUSG00000100622
A0A087WR36	ENSMUSG00000100586
A0A087WR44	ENSMUSG00000101294
A0A087WR45	ENSMUSG00000073600
A0A087WR49	ENSMUSG00000099729
A0A087WR82	ENSMUSG00000102053
A0A087WR99	ENSMUSG00000099541
A0A087WR99	ENSMUSG00000100055
A0A087WRF5	ENSMUSG00000095011
A0A087WRF5	ENSMUSG00000100667
A0A087WRF5	ENSMUSG00000094782
A0A087WRF5	ENSMUSG00000094181
A0A087WRF5	ENSMUSG00000095141
A0A087WRF5	ENSMUSG00000095263
A0A087WRF5	ENSMUSG00000101653
A0A087WRF5	ENSMUSG00000096626
A0A087WRH0	ENSMUSG00000072774
A0A087WRH8	ENSMUSG00000101436
A0A087WRI3	ENSMUSG00000079502
A0A087WRJ1	ENSMUSG00000071302
A0A087WRK3	ENSMUSG00000100972
A0A087WRK3	ENSMUSG00000100708
A0A087WRK3	ENSMUSG00000100726
A0A087WRK3	ENSMUSG00000100032
A0A087WRL2	ENSMUSG00000093895
A0A087WRL2	ENSMUSG00000104191
A0A087WRL2	ENSMUSG00000103371
A0A087WRM1	ENSMUSG00000101725
A0A087WRP6	ENSMUSG00000100939
A0A087WRP6	ENSMUSG00000100645
A0A087WRQ3	ENSMUSG00000076758
A0A087WRR7	ENSMUSG00000099689
A0A087WRT7	ENSMUSG00000101389
A0A087WRT9	ENSMUSG00000100467
A0A087WRT9	ENSMUSG00000094789
A0A087WRU1	ENSMUSG00000078932
A0A087WRV1	ENSMUSG00000058132
A0A087WRX0	ENSMUSG00000101026
A0A087WRX6	ENSMUSG00000076861
A0A087WS15	ENSMUSG00000084346
A0A087WS64	ENSMUSG00000100617
A0A087WS79	ENSMUSG00000102045
A0A087WS97	ENSMUSG00000101928
A0A087WSA6	ENSMUSG00000101361
A0A087WSB9	ENSMUSG00000101031
A0A087WSD2	ENSMUSG00000099398
A0A087WSF2	ENSMUSG00000075598
A0A087WSG3	ENSMUSG00000101818
A0A087WSM5	ENSMUSG00000099861
A0A087WSN2	ENSMUSG00000101381
A0A087WSP8	ENSMUSG00000102030
A0A087WSS0	ENSMUSG00000099894
A0A087WSS9	ENSMUSG00000100608
A0A088MLT8	ENSMUSG00000102422
A0A0A0MQA4	ENSMUSG00000094012
A0A0A0MQP3	ENSMUSG00000101500
A0A0A6YVP1	ENSMUSG00000076489
A0A0A6YVQ4	ENSMUSG00000076621
A0A0A6YVU8	ENSMUSG00000042165
A0A0A6YVV1	ENSMUSG00000103523
A0A0A6YVW3	ENSMUSG00000103290
A0A0A6YVW6	ENSMUSG00000102308
A0A0A6YVY0	ENSMUSG00000076483
A0A0A6YW14	ENSMUSG00000104213
A0A0A6YW33	ENSMUSG00000104043
A0A0A6YW38	ENSMUSG00000100338
A0A0A6YW58	ENSMUSG00000102301
A0A0A6YW67	ENSMUSG00000103034
A0A0A6YW72	ENSMUSG00000102692
A0A0A6YWG4	ENSMUSG00000103033
A0A0A6YWI4	ENSMUSG00000079283
A0A0A6YWI9	ENSMUSG00000102888
A0A0A6YWJ8	ENSMUSG00000076620
A0A0A6YWS7	ENSMUSG00000096879
A0A0A6YWT0	ENSMUSG00000076488
A0A0A6YWU1	ENSMUSG00000076484
A0A0A6YWU3	ENSMUSG00000087582
A0A0A6YWW0	ENSMUSG00000076492
A0A0A6YWW9	ENSMUSG00000076619
A0A0A6YX04	ENSMUSG00000102668
A0A0A6YX08	ENSMUSG00000076493
A0A0A6YX16	ENSMUSG00000076487
A0A0A6YX29	ENSMUSG00000103084
A0A0A6YXA0	ENSMUSG00000076485
A0A0A6YXA5	ENSMUSG00000103254
A0A0A6YXC7	ENSMUSG00000076618
A0A0A6YXF1	ENSMUSG00000103939
A0A0A6YXH6	ENSMUSG00000076497
A0A0A6YXJ1	ENSMUSG00000102141
A0A0A6YXL2	ENSMUSG00000103350
A0A0A6YXN8	ENSMUSG00000095028
A0A0A6YXQ0	ENSMUSG00000104452
A0A0A6YXW2	ENSMUSG00000095900
A0A0A6YXW6	ENSMUSG00000095079
A0A0A6YXX7	ENSMUSG00000104267
A0A0A6YXX9	ENSMUSG00000091476
A0A0A6YXY4	ENSMUSG00000076486
A0A0A6YY25	ENSMUSG00000086598
A0A0A6YY60	ENSMUSG00000102364
A0A0A6YY83	ENSMUSG00000029108
A0A0A6YYE2	ENSMUSG00000076463
A0A0A6YYE3	ENSMUSG00000076472
A0A0A6YYE5	ENSMUSG00000094315
A0A0A6YYE7	ENSMUSG00000076556
A0A0A6YYE8	ENSMUSG00000076744
A0A0A6YYP6	ENSMUSG00000095788
A0A0B4J1F3	ENSMUSG00000030427
A0A0B4J1F4	ENSMUSG00000042659
A0A0B4J1F6	ENSMUSG00000046974
A0A0B4J1F8	ENSMUSG00000054850
A0A0B4J1F9	ENSMUSG00000052415
A0A0B4J1G0	ENSMUSG00000059089
A0A0B4J1G4	ENSMUSG00000050222
A0A0B4J1G7	ENSMUSG00000076461
A0A0B4J1G8	ENSMUSG00000076462
A0A0B4J1G9	ENSMUSG00000076465
A0A0B4J1H0	ENSMUSG00000095574
A0A0B4J1H1	ENSMUSG00000094525
A0A0B4J1H2	ENSMUSG00000076470
A0A0B4J1H3	ENSMUSG00000076473
A0A0B4J1H4	ENSMUSG00000076475
A0A0B4J1H5	ENSMUSG00000076476
A0A0B4J1H6	ENSMUSG00000076501
A0A0B4J1H7	ENSMUSG00000096336
A0A0B4J1H8	ENSMUSG00000094491
A0A0B4J1H9	ENSMUSG00000096580
A0A0B4J1I0	ENSMUSG00000093861
A0A0B4J1I1	ENSMUSG00000076522
A0A0B4J1I2	ENSMUSG00000076531
A0A0B4J1I3	ENSMUSG00000076543
A0A0B4J1I4	ENSMUSG00000076545
A0A0B4J1I5	ENSMUSG00000076547
A0A0B4J1I6	ENSMUSG00000076548
A0A0B4J1I7	ENSMUSG00000076549
A0A0B4J1I8	ENSMUSG00000094006
A0A0B4J1J0	ENSMUSG00000076562
A0A0B4J1J1	ENSMUSG00000094094
A0A0B4J1J2	ENSMUSG00000094433
A0A0B4J1J3	ENSMUSG00000076589
A0A0B4J1J4	ENSMUSG00000094102
A0A0B4J1J5	ENSMUSG00000096459
A0A0B4J1J6	ENSMUSG00000095981
A0A0B4J1J7	ENSMUSG00000095127
A0A0B4J1J8	ENSMUSG00000076745
A0A0B4J1J9	ENSMUSG00000096615
A0A0B4J1J9	ENSMUSG00000095088
A0A0B4J1K1	ENSMUSG00000093966
A0A0B4J1K2	ENSMUSG00000096678
A0A0B4J1K3	ENSMUSG00000087666
A0A0B4J1K4	ENSMUSG00000076862
A0A0B4J1K5	ENSMUSG00000076939
A0A0B4J1L0	ENSMUSG00000078795
A0A0B4J1M0	ENSMUSG00000096452
A0A0B4J1M2	ENSMUSG00000071494
A0A0B4J1N0	ENSMUSG00000093896
A0A0B4J1N1	ENSMUSG00000105080
A0A0B4J1N1	ENSMUSG00000105721
A0A0B4J1N3	ENSMUSG00000096001
A0A0B4J1N7	ENSMUSG00000095711
A0A0B4J1P2	ENSMUSG00000076496
A0A0B4J1P6	ENSMUSG00000076494
A0A0B4J1P9	ENSMUSG00000076495
A0A0G2JDB8	ENSMUSG00000091041
A0A0G2JDC9	ENSMUSG00000095386
A0A0G2JDD5	ENSMUSG00000095592
A0A0G2JDD5	ENSMUSG00000094268
A0A0G2JDD5	ENSMUSG00000103203
A0A0G2JDD8	ENSMUSG00000076630
A0A0G2JDE4	ENSMUSG00000076926
A0A0G2JDE9	ENSMUSG00000076907
A0A0G2JDF0	ENSMUSG00000076898
A0A0G2JDF5	ENSMUSG00000095560
A0A0G2JDF5	ENSMUSG00000093801
A0A0G2JDG2	ENSMUSG00000076605
A0A0G2JDG3	ENSMUSG00000076917
A0A0G2JDG5	ENSMUSG00000105231
A0A0G2JDH7	ENSMUSG00000105216
A0A0G2JDI1	ENSMUSG00000076608
A0A0G2JDP3	ENSMUSG00000093813
A0A0G2JDP3	ENSMUSG00000094914
A0A0G2JDP5	ENSMUSG00000076899
A0A0G2JDS2	ENSMUSG00000043873
A0A0G2JDS9	ENSMUSG00000076906
A0A0G2JDU0	ENSMUSG00000104769
A0A0G2JDU3	ENSMUSG00000106403
A0A0G2JDV3	ENSMUSG00000104713
A0A0G2JDX5	ENSMUSG00000076891
A0A0G2JDX6	ENSMUSG00000076910
A0A0G2JDY8	ENSMUSG00000076896
A0A0G2JDZ0	ENSMUSG00000076877
A0A0G2JDZ1	ENSMUSG00000104975
A0A0G2JE01	ENSMUSG00000104824
A0A0G2JE21	ENSMUSG00000076887
A0A0G2JE22	ENSMUSG00000076886
A0A0G2JE61	ENSMUSG00000106668
A0A0G2JE67	ENSMUSG00000096664
A0A0G2JE76	ENSMUSG00000076918
A0A0G2JE99	ENSMUSG00000105906
A0A0G2JEB4	ENSMUSG00000076922
A0A0G2JEB6	ENSMUSG00000073077
A0A0G2JEB7	ENSMUSG00000091685
A0A0G2JEC1	ENSMUSG00000076912
A0A0G2JEE5	ENSMUSG00000076881
A0A0G2JEG4	ENSMUSG00000105066
A0A0G2JEI4	ENSMUSG00000104630
A0A0G2JEK3	ENSMUSG00000076913
A0A0G2JEK5	ENSMUSG00000106039
A0A0G2JEM0	ENSMUSG00000093953
A0A0G2JEM0	ENSMUSG00000094877
A0A0G2JEM5	ENSMUSG00000033883
A0A0G2JER2	ENSMUSG00000076916
A0A0G2JET4	ENSMUSG00000105630
A0A0G2JEU3	ENSMUSG00000104876
A0A0G2JEU8	ENSMUSG00000104629
A0A0G2JEV5	ENSMUSG00000104620
A0A0G2JEV8	ENSMUSG00000076905
A0A0G2JEW3	ENSMUSG00000076919
A0A0G2JEY2	ENSMUSG00000076882
A0A0G2JEZ6	ENSMUSG00000076604
A0A0G2JF02	ENSMUSG00000076924
A0A0G2JF06	ENSMUSG00000076889
A0A0G2JF27	ENSMUSG00000076874
A0A0G2JF50	ENSMUSG00000076897
A0A0G2JF87	ENSMUSG00000098799
A0A0G2JF93	ENSMUSG00000094779
A0A0G2JF93	ENSMUSG00000094758
A0A0G2JF94	ENSMUSG00000076840
A0A0G2JFA3	ENSMUSG00000076875
A0A0G2JFC2	ENSMUSG00000076923
A0A0G2JFC4	ENSMUSG00000076885
A0A0G2JFD5	ENSMUSG00000096878
A0A0G2JFD7	ENSMUSG00000076925
A0A0G2JFF0	ENSMUSG00000114278
A0A0G2JFF4	ENSMUSG00000076921
A0A0G2JFH3	ENSMUSG00000073962
A0A0G2JFK9	ENSMUSG00000076909
A0A0G2JFL6	ENSMUSG00000076902
A0A0G2JFM0	ENSMUSG00000076892
A0A0G2JFN0	ENSMUSG00000076888
A0A0G2JFP6	ENSMUSG00000076904
A0A0G2JFS3	ENSMUSG00000106405
A0A0G2JFS6	ENSMUSG00000076879
A0A0G2JFS9	ENSMUSG00000087119
A0A0G2JFT5	ENSMUSG00000076607
A0A0G2JFU1	ENSMUSG00000076894
A0A0G2JFV0	ENSMUSG00000076900
A0A0G2JFW2	ENSMUSG00000076871
A0A0G2JFW3	ENSMUSG00000076901
A0A0G2JFX6	ENSMUSG00000106620
A0A0G2JFY7	ENSMUSG00000099762
A0A0G2JG17	ENSMUSG00000106289
A0A0G2JG46	ENSMUSG00000076911
A0A0G2JG52	ENSMUSG00000019866
A0A0G2JG53	ENSMUSG00000076870
A0A0G2JG57	ENSMUSG00000076908
A0A0G2JG86	ENSMUSG00000076914
A0A0G2JG88	ENSMUSG00000076883
A0A0G2JGA3	ENSMUSG00000105993
A0A0G2JGB2	ENSMUSG00000104752
A0A0G2JGH6	ENSMUSG00000092094
A0A0G2JGI7	ENSMUSG00000076903
A0A0G2JGJ6	ENSMUSG00000106445
A0A0G2JGJ9	ENSMUSG00000076606
A0A0G2JGK9	ENSMUSG00000076893
A0A0G2JGM3	ENSMUSG00000076895
A0A0G2JGM9	ENSMUSG00000076878
A0A0G2JGQ7	ENSMUSG00000104915
A0A0G2JGQ7	ENSMUSG00000105953
A0A0G2JGR3	ENSMUSG00000076884
A0A0G2JGR8	ENSMUSG00000106627
A0A0G2JGT0	ENSMUSG00000105432
A0A0G2JGW7	ENSMUSG00000105830
A0A0G2JGW7	ENSMUSG00000104962
A0A0G2JGX9	ENSMUSG00000096527
A0A0G2JH10	ENSMUSG00000076876
A0A0G2JH15	ENSMUSG00000076890
A0A0G2LB96	ENSMUSG00000076480
A0A0J9YTR2	ENSMUSG00000107002
A0A0J9YTU8	ENSMUSG00000107252
A0A0J9YU01	ENSMUSG00000107392
A0A0J9YU71	ENSMUSG00000055202
A0A0J9YU88	ENSMUSG00000095503
A0A0J9YUD4	ENSMUSG00000096795
A0A0J9YUD5	ENSMUSG00000038759
A0A0J9YUH2	ENSMUSG00000106824
A0A0J9YUM1	ENSMUSG00000074011
A0A0J9YUV1	ENSMUSG00000094195
A0A0J9YUW3	ENSMUSG00000091183
A0A0J9YUX7	ENSMUSG00000029847
A0A0J9YUZ3	ENSMUSG00000107280
A0A0J9YV76	ENSMUSG00000066867
A0A0J9YVD0	ENSMUSG00000096066
A0A0J9YVH3	ENSMUSG00000078435
A0A0J9YVH6	ENSMUSG00000043747
A0A0M3U1B0	ENSMUSG00000038651
A0A0M6L0J6	ENSMUSG00000062201
A0A0N4SUH6	ENSMUSG00000078184
A0A0N4SUI7	ENSMUSG00000086316
A0A0N4SUJ3	ENSMUSG00000102758
A0A0N4SUK1	ENSMUSG00000058537
A0A0N4SUK7	ENSMUSG00000104301
A0A0N4SUM5	ENSMUSG00000108127
A0A0N4SUP0	ENSMUSG00000057890
A0A0N4SUS7	ENSMUSG00000107504
A0A0N4SV92	ENSMUSG00000075046
A0A0N4SVC3	ENSMUSG00000111732
A0A0N4SVP2	ENSMUSG00000107677
A0A0N4SVP8	ENSMUSG00000107906
A0A0N4SVQ0	ENSMUSG00000090658
A0A0N4SVR5	ENSMUSG00000030134
A0A0N4SVU1	ENSMUSG00000108022
A0A0N4SW15	ENSMUSG00000095659
A0A0N4SW31	ENSMUSG00000074649
A0A0N4SWI3	ENSMUSG00000090891
A0A0R4J1Z0	ENSMUSG00000093973
A0A0R4J2B9	ENSMUSG00000100249
A0A0R4J8U2	ENSMUSG00000073899
A0A0U1RNF2	ENSMUSG00000030763
A0A0U1RNF5	ENSMUSG00000108605
A0A0U1RNG7	ENSMUSG00000051727
A0A0U1RNJ4	ENSMUSG00000070382
A0A0U1RNT7	ENSMUSG00000108398
A0A0U1RNU5	ENSMUSG00000086322
A0A0U1RP76	ENSMUSG00000051793
A0A0U1RPC5	ENSMUSG00000074283
A0A0U1RPM1	ENSMUSG00000108763
A0A0U1RPR8	ENSMUSG00000074003
A0A0U1RPT6	ENSMUSG00000091692
A0A0U1RPZ4	ENSMUSG00000108426
A0A0U1RQ45	ENSMUSG00000034185
A0A0U1RQ46	ENSMUSG00000074733
A0A0U1RQ84	ENSMUSG00000030604
A0A140LHE4	ENSMUSG00000109344
A0A140LHF2	ENSMUSG00000098590
A0A140LHH9	ENSMUSG00000109179
A0A140LHN3	ENSMUSG00000090556
A0A140LHS7	ENSMUSG00000109022
A0A140LHS9	ENSMUSG00000109328
A0A140LHT4	ENSMUSG00000109446
A0A140LHT7	ENSMUSG00000108889
A0A140LHU2	ENSMUSG00000109520
A0A140LHV9	ENSMUSG00000028407
A0A140LHZ9	ENSMUSG00000062991
A0A140LI04	ENSMUSG00000109166
A0A140LI11	ENSMUSG00000109392
A0A140LI28	ENSMUSG00000109228
A0A140LI66	ENSMUSG00000109033
A0A140LI67	ENSMUSG00000108841
A0A140LIA7	ENSMUSG00000108976
A0A140LIF8	ENSMUSG00000069874
A0A140LII9	ENSMUSG00000109368
A0A140LIJ0	ENSMUSG00000109293
A0A140LIP2	ENSMUSG00000071392
A0A140LIP3	ENSMUSG00000102416
A0A140LIQ5	ENSMUSG00000108981
A0A140LIR8	ENSMUSG00000095484
A0A140LIR9	ENSMUSG00000108367
A0A140LIS8	ENSMUSG00000109482
A0A140LIT1	ENSMUSG00000108900
A0A140LIU8	ENSMUSG00000096966
A0A140LIV7	ENSMUSG00000109238
A0A140LIW3	ENSMUSG00000042425
A0A140LIX9	ENSMUSG00000109572
A0A140LJ24	ENSMUSG00000100486
A0A140LJ72	ENSMUSG00000109564
