c100000_g1	6055.m.41809
c100232_g5	6055.m.43031
c100233_g1	6055.m.43034
c100233_g2	6055.m.43035
c100234_g1	6055.m.43036
c100235_g1	6055.m.43041
c100236_g1	6055.m.43045
c100237_g1	6055.m.43049
c100238_g1	6055.m.43060
c100239_g2	6055.m.43072
c100240_g1	6055.m.43075
c100240_g2	6055.m.43076
c100240_g3	6055.m.43078
c100240_g4	6055.m.43080
c100241_g1	6055.m.43081
c100241_g2	6055.m.43083
c100241_g3	6055.m.43089
c100242_g1	6055.m.43092
c100243_g1	6055.m.43096
c100244_g1	6055.m.43097
c100244_g2	6055.m.43099
c100245_g1	6055.m.43102
c100246_g1	6055.m.43105
c100247_g1	6055.m.43111
c100248_g1	6055.m.43116
c100249_g1	6055.m.43119
c100251_g1	6055.m.43121
c100252_g1	6055.m.43126
c100253_g1	6055.m.43129
c100253_g2	6055.m.43130
c100253_g3	6055.m.43131
c100254_g1	6055.m.43133
c100255_g1	6055.m.43135
c100255_g2	6055.m.43136
c100255_g3	6055.m.43138
c100256_g1	6055.m.43140
c100257_g1	6055.m.43141
c100257_g2	6055.m.43142
c100258_g1	6055.m.43146
c100258_g2	6055.m.43147
c100259_g1	6055.m.43148
c100260_g2	6055.m.43152
c100261_g2	6055.m.43162
c100262_g1	6055.m.43163
c100262_g2	6055.m.43165
c100263_g1	6055.m.43166
c100264_g1	6055.m.43168
c100265_g1	6055.m.43174
c100266_g1	6055.m.43179
c100266_g2	6055.m.43181
c100266_g3	6055.m.43182
c100266_g4	6055.m.43185
c100267_g1	6055.m.43190
c100268_g2	6055.m.43192
c100269_g2	6055.m.43198
c100270_g1	6055.m.43202
c100270_g2	6055.m.43209
c100270_g3	6055.m.43207
c100271_g1	6055.m.43211
c100272_g1	6055.m.43216
c100274_g1	6055.m.43226
c100276_g1	6055.m.43232
c100277_g1	6055.m.43235
c100278_g1	6055.m.43243
c100278_g2	6055.m.43245
c100279_g1	6055.m.43247
c100280_g1	6055.m.43255
c100281_g1	6055.m.43260
c100281_g2	6055.m.43265
c100282_g1	6055.m.43267
c100282_g2	6055.m.43268
c100283_g1	6055.m.43270
c100284_g1	6055.m.43274
c100285_g1	6055.m.43275
c100286_g1	6055.m.43279
c100287_g1	6055.m.43282
c100288_g1	6055.m.43284
c100288_g2	6055.m.43290
c100288_g3	6055.m.43292
c100288_g4	6055.m.43297
c100289_g1	6055.m.43304
c100290_g1	6055.m.43308
c100290_g2	6055.m.43311
c100290_g3	6055.m.43313
c100291_g2	6055.m.43315
c100291_g3	6055.m.43316
c100292_g1	6055.m.43317
c100293_g1	6055.m.43322
c100294_g1	6055.m.43326
c100295_g1	6055.m.43330
c100296_g1	6055.m.43336
c100296_g2	6055.m.43340
c100297_g1	6055.m.43346
c100297_g2	6055.m.43348
c100298_g1	6055.m.43350
c100298_g2	6055.m.43353
c100298_g3	6055.m.43355
c100299_g1	6055.m.43356
c100300_g1	6055.m.43358
c100301_g1	6055.m.43363
c100302_g1	6055.m.43367
c100302_g2	6055.m.43370
c100304_g1	6055.m.43373
c100305_g1	6055.m.43375
c100306_g1	6055.m.43377
c100307_g1	6055.m.43384
c100308_g1	6055.m.43394
c100308_g2	6055.m.43397
c100309_g1	6055.m.43402
c100310_g1	6055.m.43403
c100311_g1	6055.m.43411
c100312_g1	6055.m.43413
c100313_g1	6055.m.43414
c100313_g2	6055.m.43415
c100314_g1	6055.m.43418
c100315_g1	6055.m.43424
c100315_g2	6055.m.43427
c100316_g1	6055.m.43429
c100317_g1	6055.m.43433
c100318_g1	6055.m.43439
c100319_g1	6055.m.43442
c100319_g2	6055.m.43444
c100320_g2	6055.m.43447
c100321_g1	6055.m.43448
c100322_g1	6055.m.43452
c100323_g1	6055.m.43453
c100324_g1	6055.m.43463
c100324_g2	6055.m.43467
c100324_g3	6055.m.43466
c100324_g4	6055.m.43468
c100325_g1	6055.m.43469
c100326_g1	6055.m.43482
c100327_g1	6055.m.43487
c100327_g2	6055.m.43490
c100328_g3	6055.m.43492
c100328_g4	6055.m.43496
c100329_g1	6055.m.43501
c100330_g1	6055.m.43505
c100331_g1	6055.m.43508
c100331_g2	6055.m.43509
c100332_g1	6055.m.43510
c100332_g2	6055.m.43513
c100333_g1	6055.m.43515
c100334_g1	6055.m.43516
c100335_g1	6055.m.43525
c100336_g1	6055.m.43533
c100336_g2	6055.m.43536
c100336_g3	6055.m.43538
c100337_g1	6055.m.43539
c100339_g1	6055.m.43541
c100340_g1	6055.m.43546
c100340_g2	6055.m.43548
c100341_g1	6055.m.43551
c100341_g2	6055.m.43558
c100343_g1	6055.m.43568
c100344_g1	6055.m.43571
c100345_g1	6055.m.43572
c100346_g1	6055.m.43575
c100347_g1	6055.m.43581
c100348_g1	6055.m.43586
c100349_g1	6055.m.43589
c100349_g2	6055.m.43594
c10035_g1	6055.m.1055
c100350_g1	6055.m.43596
c100351_g1	6055.m.43601
c100352_g1	6055.m.43607
c100352_g2	6055.m.43608
c100353_g1	6055.m.43611
c100354_g1	6055.m.43620
c100354_g2	6055.m.43624
c100355_g1	6055.m.43625
c100355_g2	6055.m.43626
c100356_g1	6055.m.43630
c100356_g2	6055.m.43634
c100356_g3	6055.m.43635
c100357_g1	6055.m.43640
c100358_g1	6055.m.43650
c100359_g2	6055.m.43657
c100359_g3	6055.m.43661
c100360_g1	6055.m.43662
c100361_g1	6055.m.43667
c100361_g2	6055.m.43668
c100361_g3	6055.m.43673
c100361_g4	6055.m.43669
c100362_g1	6055.m.43675
c100363_g1	6055.m.43678
c100364_g1	6055.m.43684
c100365_g2	6055.m.43685
c100365_g3	6055.m.43691
c100365_g4	6055.m.43693
c100365_g5	6055.m.43699
c100366_g2	6055.m.43702
c100367_g1	6055.m.43708
c100368_g1	6055.m.43711
c100370_g2	6055.m.43720
c100370_g3	6055.m.43721
c100371_g1	6055.m.43722
c100372_g1	6055.m.43727
c100373_g1	6055.m.43733
c100374_g1	6055.m.43741
c100375_g1	6055.m.43745
c100375_g2	6055.m.43748
c100376_g1	6055.m.43753
c100377_g1	6055.m.43755
c100379_g1	6055.m.43760
c100380_g2	6055.m.43767
c100381_g2	6055.m.43769
c100381_g3	6055.m.43770
c100382_g1	6055.m.43773
c100383_g1	6055.m.43775
c100384_g1	6055.m.43777
c100385_g1	6055.m.43781
c100385_g2	6055.m.43782
c100385_g3	6055.m.43784
c100386_g2	6055.m.43786
c100388_g1	6055.m.43789
c100388_g2	6055.m.43790
c100389_g1	6055.m.43792
c100389_g2	6055.m.43796
c100390_g1	6055.m.43800
c100391_g1	6055.m.43809
c100391_g2	6055.m.43808
c100392_g1	6055.m.43810
c100393_g1	6055.m.43816
c100394_g1	6055.m.43852
c100395_g1	6055.m.43858
c100396_g1	6055.m.43859
c100397_g1	6055.m.43860
c100397_g2	6055.m.43861
c100398_g1	6055.m.43864
c100399_g1	6055.m.43868
c100400_g1	6055.m.43871
c100401_g1	6055.m.43872
c100402_g1	6055.m.43876
c100402_g2	6055.m.43879
c100403_g1	6055.m.43880
c100403_g2	6055.m.43883
c100405_g1	6055.m.43891
c100406_g1	6055.m.43895
c100408_g1	6055.m.43901
c100409_g1	6055.m.43902
c100410_g1	6055.m.43904
c100411_g1	6055.m.43910
c100411_g2	6055.m.43913
c100411_g3	6055.m.43915
c100412_g1	6055.m.43925
c100413_g1	6055.m.43929
c100414_g1	6055.m.43931
c100415_g1	6055.m.43941
c100416_g1	6055.m.43946
c100417_g1	6055.m.43948
c100417_g2	6055.m.43952
c100418_g1	6055.m.43956
c100419_g1	6055.m.43958
c100420_g1	6055.m.43960
c100421_g2	6055.m.43963
c100421_g3	6055.m.43969
c100422_g1	6055.m.43970
c100423_g1	6055.m.43974
c100424_g1	6055.m.43975
c100425_g1	6055.m.43977
c100426_g1	6055.m.43981
c100426_g2	6055.m.43983
c100427_g1	6055.m.43988
c100428_g2	6055.m.43991
c100428_g3	6055.m.43992
c100428_g4	6055.m.43995
c100429_g1	6055.m.43996
c100430_g1	6055.m.43997
c100431_g1	6055.m.44000
c100432_g2	6055.m.44002
c100433_g1	6055.m.44004
c100433_g2	6055.m.44009
c100434_g1	6055.m.44012
c100434_g2	6055.m.44015
c100434_g3	6055.m.44020
c100434_g4	6055.m.44022
c100434_g5	6055.m.44025
c100435_g1	6055.m.44027
c100436_g1	6055.m.44032
c100437_g1	6055.m.44035
c100438_g1	6055.m.44039
c100439_g1	6055.m.44041
c100440_g1	6055.m.44047
c100441_g1	6055.m.44049
c100443_g1	6055.m.44050
c100443_g2	6055.m.44053
c100444_g1	6055.m.44054
c100445_g1	6055.m.44062
c100446_g1	6055.m.44063
c100446_g2	6055.m.44070
c100447_g1	6055.m.44074
c100448_g1	6055.m.44080
c100448_g2	6055.m.44082
c100449_g1	6055.m.44085
c100450_g1	6055.m.44088
c100452_g1	6055.m.44093
c100453_g1	6055.m.44095
c100453_g3	6055.m.44096
c100454_g1	6055.m.44097
c100455_g1	6055.m.44099
c100456_g1	6055.m.44100
c100456_g2	6055.m.44101
c100456_g3	6055.m.44110
c100456_g4	6055.m.44115
c100456_g5	6055.m.44117
c100456_g6	6055.m.44119
c100456_g7	6055.m.44125
c100457_g1	6055.m.44134
c100458_g1	6055.m.44138
c100459_g1	6055.m.44142
c100460_g1	6055.m.44152
c100461_g1	6055.m.44164
c100462_g1	6055.m.44165
c100463_g1	6055.m.44171
c100464_g1	6055.m.44174
c100465_g1	6055.m.44181
c100466_g1	6055.m.44183
c100466_g2	6055.m.44184
c100467_g1	6055.m.44189
c100468_g1	6055.m.44190
c100469_g1	6055.m.44191
c100471_g1	6055.m.44195
c100471_g2	6055.m.44200
c100471_g3	6055.m.44202
c100472_g1	6055.m.44207
c100473_g1	6055.m.44208
c100474_g1	6055.m.44209
c100474_g2	6055.m.44212
c100475_g1	6055.m.44223
c100476_g1	6055.m.44226
c100476_g2	6055.m.44228
c100476_g3	6055.m.44229
c100476_g4	6055.m.44231
c100477_g1	6055.m.44233
c100479_g1	6055.m.44238
c100480_g1	6055.m.44243
c100480_g2	6055.m.44253
c100480_g3	6055.m.44259
c100480_g5	6055.m.44261
c100481_g1	6055.m.44264
c100483_g1	6055.m.44272
c100484_g1	6055.m.44274
c100485_g1	6055.m.44277
c100485_g3	6055.m.44290
c100486_g1	6055.m.44294
c100488_g1	6055.m.44297
c100489_g1	6055.m.44301
c100490_g1	6055.m.44305
c100491_g1	6055.m.44307
c100492_g1	6055.m.44316
c100493_g1	6055.m.44332
c100493_g2	6055.m.44334
c100494_g1	6055.m.44339
c100494_g2	6055.m.44340
c100495_g1	6055.m.44345
c100496_g1	6055.m.44347
c100497_g1	6055.m.44353
c100498_g1	6055.m.44359
c100498_g2	6055.m.44361
c100499_g1	6055.m.44366
c100500_g1	6055.m.44369
c100501_g1	6055.m.44380
c100501_g2	6055.m.44383
c100501_g3	6055.m.44388
c100503_g1	6055.m.44391
c100504_g1	6055.m.44397
c100504_g2	6055.m.44401
c100505_g1	6055.m.44419
c100506_g1	6055.m.44427
c100506_g2	6055.m.44428
c100506_g3	6055.m.44429
c100507_g1	6055.m.44432
c100508_g1	6055.m.44436
c100509_g1	6055.m.44439
c100510_g1	6055.m.44440
c100511_g1	6055.m.44442
c100512_g1	6055.m.44449
c100514_g1	6055.m.44460
c100515_g1	6055.m.44463
c100515_g2	6055.m.44464
c100515_g3	6055.m.44468
c100516_g1	6055.m.44473
c100517_g1	6055.m.44479
c100518_g1	6055.m.44487
c100519_g1	6055.m.44492
c10052_g1	6055.m.1056
c100520_g1	6055.m.44496
c100521_g1	6055.m.44499
c100522_g1	6055.m.44502
c100522_g2	6055.m.44504
c100522_g3	6055.m.44508
c100523_g1	6055.m.44509
c100523_g2	6055.m.44512
c100523_g3	6055.m.44513
c100523_g4	6055.m.44517
c100524_g1	6055.m.44523
c100525_g1	6055.m.44525
c100527_g1	6055.m.44527
c100528_g1	6055.m.44529
c100530_g1	6055.m.44545
c100530_g2	6055.m.44550
c100530_g3	6055.m.44557
c100531_g1	6055.m.44560
c100532_g1	6055.m.44562
c100532_g2	6055.m.44567
c100533_g1	6055.m.44571
c100533_g2	6055.m.44573
c100533_g3	6055.m.44574
c100533_g4	6055.m.44575
c100533_g5	6055.m.44576
c100533_g6	6055.m.44579
c100533_g7	6055.m.44580
c100533_g8	6055.m.44581
c100533_g9	6055.m.44584
c100534_g1	6055.m.44588
c100534_g2	6055.m.44590
c100535_g1	6055.m.44592
c100536_g1	6055.m.44599
c100536_g2	6055.m.44601
c100536_g3	6055.m.44603
c100536_g4	6055.m.44607
c100537_g1	6055.m.44610
c100537_g2	6055.m.44616
c100538_g1	6055.m.44621
c100538_g2	6055.m.44625
c100538_g3	6055.m.44628
c100540_g1	6055.m.44633
c100541_g1	6055.m.44638
c100543_g1	6055.m.44642
c100543_g2	6055.m.44645
c100545_g1	6055.m.44646
c100545_g2	6055.m.44652
c100546_g1	6055.m.44654
c100547_g1	6055.m.44657
c100547_g2	6055.m.44659
c100547_g3	6055.m.44660
c100548_g1	6055.m.44662
c100548_g2	6055.m.44664
c100549_g1	6055.m.44669
c100550_g1	6055.m.44680
c100550_g2	6055.m.44686
c100550_g3	6055.m.44689
c100551_g1	6055.m.44701
c100552_g1	6055.m.44707
c100554_g1	6055.m.44709
c100555_g1	6055.m.44715
c100557_g1	6055.m.44720
c100557_g2	6055.m.44723
c100558_g1	6055.m.44725
c100559_g1	6055.m.44726
c100559_g2	6055.m.44729
c100560_g2	6055.m.44733
c100560_g3	6055.m.44736
c100561_g1	6055.m.44747
c100562_g1	6055.m.44749
c100563_g1	6055.m.44751
c100565_g1	6055.m.44754
c100566_g1	6055.m.44758
c100566_g2	6055.m.44761
c100567_g1	6055.m.44762
c100569_g1	6055.m.44764
c100569_g2	6055.m.44766
c100569_g3	6055.m.44768
c100570_g1	6055.m.44772
c100571_g1	6055.m.44779
c100572_g1	6055.m.44784
c100573_g1	6055.m.44790
c100574_g1	6055.m.44793
c100575_g1	6055.m.44800
c100576_g1	6055.m.44804
c100577_g1	6055.m.44807
c100578_g1	6055.m.44811
c100579_g1	6055.m.44818
c100579_g2	6055.m.44819
c100579_g3	6055.m.44822
c100579_g4	6055.m.44824
c100580_g1	6055.m.44827
c100580_g2	6055.m.44830
c100580_g3	6055.m.44831
c100581_g1	6055.m.44834
c100581_g2	6055.m.44836
c100581_g3	6055.m.44840
c100582_g1	6055.m.44842
c100582_g2	6055.m.44868
c100583_g1	6055.m.44869
c100583_g2	6055.m.44877
c100584_g1	6055.m.44884
c100584_g2	6055.m.44880
c100584_g3	6055.m.44886
c100585_g1	6055.m.44887
c100585_g2	6055.m.44892
c100586_g1	6055.m.44897
c100586_g2	6055.m.44915
c100588_g1	6055.m.44924
c100589_g1	6055.m.44926
c100590_g1	6055.m.44929
c100591_g1	6055.m.44935
c100592_g1	6055.m.44937
c100593_g1	6055.m.44939
c100593_g2	6055.m.44942
c100594_g1	6055.m.44945
c100595_g1	6055.m.44947
c100596_g1	6055.m.44955
c100596_g2	6055.m.44956
c100597_g2	6055.m.44963
c100598_g1	6055.m.44964
c100598_g2	6055.m.44966
c100600_g1	6055.m.44969
c100600_g2	6055.m.44970
c100601_g1	6055.m.44974
c100602_g1	6055.m.44979
c100603_g1	6055.m.44980
c100604_g1	6055.m.44987
c100605_g1	6055.m.44994
c100605_g2	6055.m.44995
c100606_g1	6055.m.44997
c100607_g1	6055.m.45002
c100608_g2	6055.m.45003
c100609_g1	6055.m.45005
c100610_g1	6055.m.45009
c100610_g2	6055.m.45013
c100610_g3	6055.m.45020
c100611_g1	6055.m.45027
c100612_g1	6055.m.45032
c100613_g1	6055.m.45037
c100614_g1	6055.m.45040
c100614_g2	6055.m.45044
c100615_g1	6055.m.45057
c100615_g2	6055.m.45056
c100615_g3	6055.m.45059
c100616_g1	6055.m.45061
c100616_g2	6055.m.45068
c100616_g3	6055.m.45073
c100617_g1	6055.m.45075
c100617_g2	6055.m.45076
c100618_g1	6055.m.45079
c100619_g1	6055.m.45082
c10062_g1	6055.m.1058
c100620_g1	6055.m.45085
c100621_g1	6055.m.45086
c100622_g1	6055.m.45088
c100623_g1	6055.m.45098
c100624_g1	6055.m.45104
c100624_g2	6055.m.45108
c100625_g1	6055.m.45114
c100625_g2	6055.m.45122
c100626_g1	6055.m.45126
c100628_g1	6055.m.45133
c100629_g1	6055.m.45136
c100629_g2	6055.m.45139
c100630_g1	6055.m.45144
c100631_g1	6055.m.45147
c100632_g1	6055.m.45148
c100632_g2	6055.m.45149
c100633_g1	6055.m.45151
c100634_g1	6055.m.45161
c100634_g2	6055.m.45156
c100635_g2	6055.m.45171
c100636_g1	6055.m.45172
c100637_g1	6055.m.45177
c100637_g2	6055.m.45184
c100638_g1	6055.m.45189
c100638_g2	6055.m.45192
c100638_g3	6055.m.45195
c100639_g1	6055.m.45200
c100639_g2	6055.m.45201
c100640_g1	6055.m.45207
c100641_g1	6055.m.45210
c100641_g2	6055.m.45211
c100641_g3	6055.m.45213
c100641_g4	6055.m.45217
c100642_g1	6055.m.45218
c100642_g2	6055.m.45219
c100642_g3	6055.m.45221
c100643_g1	6055.m.45222
c100644_g1	6055.m.45232
c100644_g2	6055.m.45235
c100644_g3	6055.m.45236
c100645_g1	6055.m.45239
c100646_g1	6055.m.45243
c100647_g1	6055.m.45246
c100648_g1	6055.m.45248
c100649_g1	6055.m.45254
c100650_g1	6055.m.45262
c100652_g1	6055.m.45265
c100653_g1	6055.m.45270
c100654_g1	6055.m.45275
c100655_g1	6055.m.45282
c100656_g1	6055.m.45286
c100656_g2	6055.m.45289
c100657_g1	6055.m.45292
c100657_g2	6055.m.45293
c100659_g2	6055.m.45295
c100660_g1	6055.m.45299
c100661_g1	6055.m.45307
c100662_g2	6055.m.45313
c100664_g1	6055.m.45319
c100665_g2	6055.m.45334
c100666_g1	6055.m.45341
c100667_g1	6055.m.45342
c100667_g2	6055.m.45346
